,comm_date,author,author_id,likes,comment,video_id
23,2024-12-04T13:49:57Z,@AnaArdiani-s4t,UC30MQwng30hWQLIbLB9lfJg,0,Lah non asn yg sdh impasing 3.5juta  naik gak pak,rrZBXyl7ScQ
24,2024-12-04T13:47:27Z,@AkungBud,UC04ynBkofNy0qJcEkTG432A,0,emang enak gue bohongin😅,rrZBXyl7ScQ
25,2024-12-04T13:43:25Z,@sitikomariyah2969,UCSLwSTS4dYxRw10uuiUR4tg,0,Jadi kumaha bagaimana ini teh ... 😢,rrZBXyl7ScQ
26,2024-12-04T13:41:07Z,@sukarlan8924,UC-mXK8qw6MowBiopI4pKDHg,0,"Inrinya gak ada yg naek, yg naek hanya 500 ribu yg non asn",rrZBXyl7ScQ
27,2024-12-04T13:26:44Z,@hermanudinwahin6861,UC9TvSa8ESLA0jSC1gaFC2aA,0,Regulasinya selama ini memang sdh begitu...,rrZBXyl7ScQ
28,2024-12-04T13:05:52Z,@HambaTuhan-z2u,UCRN-Y59fwR43V5Z1kyZb9-g,1,ckckck Guru dikibulin Prabowo,rrZBXyl7ScQ
29,2024-12-04T13:01:19Z,@indiraeffendi5750,UC8EqcFG_c4qf5b-H82BTkZQ,0,Heboh naik trnyata Zonk kl itu mah gk ush diumumkan,rrZBXyl7ScQ
30,2024-12-04T12:59:49Z,@AlamsyahAncha-f9f,UC3KZ9qhwjtGIhONDs0O_BzQ,0,"Kok pake bahasa marketing😂,bilang sj naik 500rb😂",rrZBXyl7ScQ
31,2024-12-04T12:58:21Z,@SittiRadia-hx1px,UCoU_1byhpc69IKpCYWKwJjw,0,Non guru jg,rrZBXyl7ScQ
32,2024-12-04T12:47:56Z,@laboratoriumrsud-j6n,UCTZZkAeLK093oXD7xliog-Q,0,@ringkas.45,rrZBXyl7ScQ
33,2024-12-04T12:46:39Z,@naniafrita9807,UCa9I8IjAOHyHxUvZTn0FYIg,0,😂😂😂😂😂😂😂😂,rrZBXyl7ScQ
34,2024-12-04T12:46:18Z,@nurrahmawati156,UC8JCIxa9gv5JAYuj0NtGJDw,0,Owalah,rrZBXyl7ScQ
35,2024-12-04T12:38:45Z,@suryawilwatiktanusantara6648,UCml7GUFW1z5DjJXYA4xvWVw,0,"GURU KENA PRANK, TPP ITU SUDAH ADA SEJAK TAHUN 2008 JAMAN PRESIDEN SBY.",rrZBXyl7ScQ
36,2024-12-04T12:23:33Z,@gibekgibek9574,UCx-ehjupgsoWDKMvudTYjbg,0,Guru di prank lg😂😂,rrZBXyl7ScQ
37,2024-12-04T12:22:45Z,@muhammadserian3234,UCM6_Nt3oPM1YbIA2rVy0_WA,0,"Salah hitung atau sengaja dijadikan prank? 
Kasian guru yg intelek di prank..... 
Infonya diolah dulu.... Baru disampaikan supaya tidak multi tafsir. Nanti disangka mau nipu.... Padahal niatnya sudah baik untuk mensejahtetakan guru 🙏",rrZBXyl7ScQ
38,2024-12-04T12:15:12Z,@suwotosuwoto6255,UC-wYj7hGgsmKijfQyPlR-Qw,0,Preeeet.janji.mulu.apa.yg.kerja.cuma.guru.tok,rrZBXyl7ScQ
39,2024-12-04T11:59:05Z,@kamilasuhadi5564,UCC4Tro7KMoViroLLtLoodPw,0,Guru infasing juga ikut naik tidak pak,rrZBXyl7ScQ
40,2024-12-04T11:56:40Z,@herling9762,UCffgkkbdX9EJ50oTp0N9I5Q,0,"Kenaikan gaji guru asn dan guru non asn yg di umumkan naik,yg lebih cocok jelaskan menteri keuangan.",rrZBXyl7ScQ
41,2024-12-04T11:56:00Z,@MiaJamiati-z2j,UCG6ifds0y4GjtQ11fPgOWBA,0,"Alhamdulillah lah walaupun cuma naik 500 RB. Bersyukur banget , naik cuma 8% ajha dah Alhamdulillah apa lagi naik 500 rb",rrZBXyl7ScQ
42,2024-12-04T11:54:30Z,@Parmasasmita,UCKvh65u-e9nrSUEwl1iotZg,0,Apakah anggota kabinet merah putih tidak merasa ngeprank guru ?,rrZBXyl7ScQ
43,2024-12-04T11:52:13Z,@mugnialatif6331,UCOuUGz5XcWshI8DjIOFh3Vw,0,Untuk menghindari kecemburuan sosial sesama guru maka dengan kebijakan presiden   Prabowo tahun 2025 Insya Allah semua guru PNS / ASN mendapatkan tunjangan sertifikasi tanpa syarat ditambah kenaikan Gaji 1x gaji pokok . Amiiin Yaa Robbal'alamin .,rrZBXyl7ScQ
44,2024-12-04T11:45:29Z,@sunaryosewon6683,UC4Bf2zIxnby0_k7-WF7jQLg,0,Selamat bagi para guru..... Anda berhasil di prank....,rrZBXyl7ScQ
45,2024-12-04T11:38:27Z,@AlsafSyarif,UC2viPV9kgan11uBSYYVALVg,0,Omon omon,rrZBXyl7ScQ
46,2024-12-04T11:27:57Z,@cuapvlog334,UCg2zL_VhK_u5agIL8cbZR4g,0,Prank nasional,rrZBXyl7ScQ
47,2024-12-04T11:20:17Z,@SHADOWFIGHT_ID,UCzpdHISjLV6lga0F8kPJY-w,0,Bapak menteri yang terhormat. Ngapain bapak jelasin program pak SBY? Semua guru juga tau kalau dah sertifikat akan mendapat tunjangan 1x gaji. Dan itu bukan program anda.,rrZBXyl7ScQ
48,2024-12-04T11:19:05Z,@iryamarewo8871,UCSdO9CZIUISu5x6ZsrDClqQ,0,😂😂😂 kasihan seluruh guru di Indonesia di tipu oleh pemerintah biar kelihatn 2 juta sisa nambh aja 500 selesai dah janjinya tambahan 2 juta gaji guru😂😂😂,rrZBXyl7ScQ
49,2024-12-04T11:05:48Z,@bimulproplayer5002,UCY16EY71x5X5swmQ4VGVSlA,0,"Mr Prankbowo, 😂🤭",rrZBXyl7ScQ
50,2024-12-04T10:59:03Z,@lioncell2092,UCM4uBZppg0MsTRaJC_1AFAQ,0,gaji guru naik pajak ikut naik biaya belanja sembako juga ikut naik,rrZBXyl7ScQ
51,2024-12-04T10:56:52Z,@ml1985.,UCZd_O1sQOSq-KmzB8egnilQ,0,"Pembodohan publik, guru ASN 1 bulan gaji itu udah 15 tahun yg lalu zaman sby. Guru Honor dapat tambahan 500 itu bagi yg sertifikasi, bagaimana yg belom?",rrZBXyl7ScQ
52,2024-12-04T10:55:31Z,@budisantosa9786,UCmAmErAfl31P4Yib1jjcCJQ,0,Guru naik gaji petani buruh nelayan gimana mana petani pada gimana. Wong tani ayo kamu bisa,rrZBXyl7ScQ
53,2024-12-04T10:40:30Z,@IrwanAnwar-d7y,UCNHl8KNv6xU7KipfclmETPA,0,Klu gi ya sama aja ngibul,rrZBXyl7ScQ
54,2024-12-04T10:34:17Z,@rosnita-u4b,UCJAsxLqxZ4yR_CJBVfEI3ig,0,"Kasian guru honor yg bln sertifikasi ,katanya sekarang sertifikasi akan di permudah semoga",rrZBXyl7ScQ
55,2024-12-04T10:31:41Z,@islawarmankahar5231,UCLE1f-GzPBr2b5WpNo682rQ,0,Omon omon,rrZBXyl7ScQ
56,2024-12-04T10:19:34Z,@KeletLenggang,UCDUaVjEoVeGrXmpbkx27Gmw,0,Ternyata hoax,rrZBXyl7ScQ
57,2024-12-04T10:13:45Z,@IkhsanHaris-k9q,UCHCOLWyAHZwc8O1jzfLlApQ,0,Wah kok sekarang bapak baru tau undang guru sejak zaman presiden SBY. Kalau guru ASN yg sudag sertifikasi memang tunjangannya satu kali gaji pokok dipotong pajak 15 %.bapaaaaak.,rrZBXyl7ScQ
58,2024-12-04T10:04:45Z,@henrysulistyo11,UCFwKMaIZFOiNRB--bYQ7gBg,1,Bnyak yg komentar mengatakan prank tanpa mendengar dgn jelas apa yg dikatakn oleh mensesneg.,rrZBXyl7ScQ
59,2024-12-04T09:55:49Z,@widiatmopetrus3444,UCoqNmkzncyd7fFOQ2koPO9g,0,"Guru & sekolah gk penting2 amat, MK segera keluarkan keputususan syarat ""presiden dan wakil presiden indonesia, mampu baca dan tulis huruf latin""",rrZBXyl7ScQ
60,2024-12-04T09:54:30Z,@abdulfatah7052,UCFZ7rDQPlD8mfpzgZoafC5Q,0,"Terima kasih Pak SBY yang sudah mengesahkan kan UU Guru dan Dosen sehingga kami sebagai guru bisa mendapatkan sertifikasi, Pak SBY adalah bapak Pendidikan Nasional Indonesia semoga Bpk sehat selalu dan panjang umur.",rrZBXyl7ScQ
61,2024-12-04T09:54:14Z,@jumindakaryana4164,UC9IEB0WkF30svpGEoTxt3_w,0,"Ingatttt....Mulai Bulan oktober....guruuuu...
.kena frankkkkkk....",rrZBXyl7ScQ
62,2024-12-04T09:52:37Z,@tabaitv,UCS6Sc0hPfgxW5y0YNEXe_kg,0,"Terimakasih pak SBY, anda bukan presiden omon omon seperti sekarang ini",rrZBXyl7ScQ
63,2024-12-04T09:51:13Z,@herusetyawan3575,UCHL9T26k2R0mOKtYjBB9qEA,0,Prankbowo lahhhhh,rrZBXyl7ScQ
64,2024-12-04T09:47:52Z,@bahrulhuda8894,UCnGK1LipNsjcWodUd8mgsng,0,"Kami petani lahan2 Sdh habis terjual, skrg lahan2 Sdh dikuasai Guru2 PNS dan para petani jadi kuli atas tanah mereka sendiri.
Tolong nasib kami para petani.",rrZBXyl7ScQ
65,2024-12-04T09:43:31Z,@islamistherightone,UCQ_hvvcCRQxZCq5FJmrCI3w,0,hari prank guru nasional....,rrZBXyl7ScQ
66,2024-12-04T09:42:59Z,@HUNNA-fn1zu,UCBq4zsBCz2xT5ukzegJ27iw,0,"Yaaaaaaaaa ndak perlu diumumkan kalau yang ini, tanpa diumumkanpun pemerintah wajib melaksanakannya karena UU sudah mengaturnya. Jadi ndak ada kabar baiknya bagi guru yg suah sertifikasi sebelum tahun 2024",rrZBXyl7ScQ
67,2024-12-04T09:36:52Z,@MisNarti-hp1rk,UCE60naUX1fjUZemyx6rY0Aw,0,"Sama Deng bohong. Berarti tdk ada kenaikan gaji tunjangan guru untk ASN, prank buat guru dari Prabowo. 😊😊",rrZBXyl7ScQ
68,2024-12-04T09:32:01Z,@FaktaSujiwa,UCSz7aKljyuWwdJFMCi8TKMg,0,Terimakasih pak SBY,rrZBXyl7ScQ
69,2024-12-04T09:31:40Z,@FaktaSujiwa,UCSz7aKljyuWwdJFMCi8TKMg,0,Wkwkwkwkwkkwkwkwkwkwkw😅😅😅😅😅 prankkk,rrZBXyl7ScQ
